cpg_density,genomic_location,regulatory_score,conservation_score,methylation_status
0.7993428306022465,0.9498388591465006,0.2974465175076856,0.2684384884245218,1
0.672347139765763,0.8311584207281921,0.45664439878534463,0.47792299784409964,1
0.8295377076201385,0.6149075924800436,0.2622740237000116,0.5672788933156712,0
1.0,0.4382658055736065,0.4076115411082879,1.0,1
0.6531693250553328,0.7745558284033974,0.0,0.7613106249067516,0
0.6531726086101638,0.6983713463554374,0.5639881122118816,0.38290368618002174,0
1.0,0.8237983050069331,0.5003616426086672,0.7472072578835274,1
0.8534869458305817,0.7587929504204923,0.25487341067954283,0.3405392022123269,0
0.6061051228130095,0.8623881788298338,0.6977737005297215,0.8665382107774147,1
0.8085120087171929,0.466191197109858,0.7812710412879675,0.5557750696364243,1
0.6073164614375075,0.9293485164085814,0.017732040689307782,0.6312727622521659,0
0.6068540492859485,0.6493999011730999,0.2711825664301357,0.915159329508438,0
0.7483924543132068,1.0,0.2692572950638106,0.39256728628315,1
0.3173439510684404,0.427703045477608,0.2180290696673406,0.37057636297740176,0
0.35501643349739337,1.0,0.7488424525795245,0.533280134730799,1
0.5875424941518054,0.649477695865662,0.44185215836815894,0.8576757702038633,1
0.4974337759331152,0.4371454990963879,0.42064554760681677,0.3461307849046315,0
0.7628494665190547,0.4790285414864196,0.0,0.08356888037788623,0
0.5183951848957578,0.5199131729514199,0.6906254090627679,0.5597682283182003,0
0.41753925973294165,0.706041486600479,0.12822248154395827,0.7603481599821841,0
0.9931297537843108,0.7307088720088749,0.5179797890798985,0.8900523499477659,1
0.6548447399026929,0.45657499901535525,0.5832130813874575,0.5573677275829202,0
0.7135056409375847,0.5939113519347543,0.9081975787515952,0.5677146785767995,1
0.4150503627573086,1.0,0.1073538802642664,0.8807801468511495,0
0.5911234550949634,1.0,0.0,0.27605166006091586,0
0.7221845179419731,0.709080917418508,0.5551548634261084,0.5722958449633981,1
0.4698012845155394,0.6095008695420501,1.0,0.6880847779850116,1
0.7751396036691344,0.6300078316795653,0.8716839058818312,0.7398437442570069,1
0.579872262016239,0.7533794931826041,0.5628978245823877,0.5480386613618236,1
0.6416612500413446,0.3443018587003986,0.3525091443103858,0.6568882023411683,0
0.5796586775541206,0.5356558656441637,0.7421367789911931,0.1523345293174021,0
1.0,0.18285398153060262,0.2079361400886594,0.5183503175332304,0
0.6973005550524132,0.6998057806513198,0.6429073308068658,0.7407017425108935,1
0.48845781420881984,0.7617989849256852,0.6516410477499881,0.4535411931490641,0
0.8645089824206378,0.4792033844251565,0.818062972249664,0.6617968443179195,1
0.4558312700057955,0.9934966908225082,1.0,0.7393745001605396,1
0.7417727190009511,0.29355858424941467,0.6177247901536301,0.581490159828447,0
0.30806597522404483,0.23390627994754493,0.34731091228775035,0.6840927541993143,0
0.4343627902203138,0.656112954639993,0.4923277063424017,0.4574534869430775,0
0.7393722471738247,0.8617745756530386,0.0,0.6086777440607907,0
0.847693315999082,1.0,0.2915860606732825,0.7720432339178446,1
0.734273656237994,0.485278934282765,0.3772152685660688,0.6813945921936868,0
0.6768703435223519,0.8696702083578238,0.34277348061962226,0.5326937460872129,1
0.6397792608821422,0.5903728826248231,0.5457064616101166,0.6948432808581586,1
0.4042956019265145,0.5568431750147951,0.25327402028533985,0.7929219581273237,0
0.5560311583210582,0.8209149843716681,0.8363092001973413,0.2400117442845044,1
0.6078722458080424,0.7630807196033549,0.5000621194754591,0.8818148129911796,1
0.9114244452437831,0.20590196075393763,0.49720990365841566,0.5827490522637856,0
0.7687236579136922,0.9691350874314739,0.4016315850461246,0.735097986648046,1
0.34739196892745317,0.9450228385368629,0.5465572051576937,0.8894493847290457,1
0.764816793878959,0.4436093246226176,0.7475294794002905,0.3756652605539068,1
0.6229835439167366,0.6989508833593523,0.23986093528672991,0.5081117995144907,0
0.5646155999388082,0.7235075465706847,0.302565053277423,0.592290260824859,0
0.8223352577681735,0.6651684414559768,0.4088821913670006,0.49324929577511434,1
0.9061999044991902,0.4624237115386449,0.09623872295803554,0.9969873151673617,1
0.8862560238232396,0.4320941580154871,0.25422264208355067,0.47864558123464146,0
0.5321564953554723,0.5936114822521387,0.3571337379366023,0.5388906441026267,0
0.6381575248297571,0.8931822548148411,0.7623167542138183,0.6908778063205954,1
0.7662526862807127,0.7359000386486081,0.5787683987005775,0.40957009478478223,1
0.8951090254244718,0.5073464169784735,0.5580769734102633,0.5708638576487473,1
0.6041651524309419,0.7929246776620862,0.7552693886503916,0.713490652250035,1
